c1,c2
spam,बिभिन्न किसिमका सेक्स टोयहरु उपलबध छ। सम्पर्क गर्ने ठेगना तल उल्लेख गरिएको छ।
ham,कृपया तिम्रो डकुमेनट अहिले पठाउ यदि समभव छ भने ।
spam,३जी सेवा लिदा एक महिनाका लागि नेट सेवा फ्रि।
ham,म लोक सेवा आयोग गइरहेको छु । 
ham,घर पुगेपछि मलाई फोन गरनुस ।
ham,छठ र्पव के अवसर पर बहुत बहुत शुभकमना ।
ham,भोलि म उपत्यका बाहिर जादैछु उता बाट फरके पछि कुरा गरौला भाई ।
spam,अर्जेन्ट अवश्कता मल्टिनेशसनल कम्पनिका लागि १० वटा केटा र १० वटा केटी चाहियो।
spam,लिङगको लम्बाईमोटाईउतेजना बढाउन शिघ्रपतन हटाउन यौन वर्दक तेल चाहिएमा सम्पर्क गर्नु।
ham,नमस्कारदाङ्गतिरको हालखबर के छ।
spam,*५७६*६७# मा डाएल गर्नुस र सुरेलि अँखियो वालि गीत सुनुहोस् । प्रत्येक गीत को चार्ज १० रूपैया मात्र ।
spam,नयाँ बर्षको विशेष छुटकौल 5240562 मा ।
ham,अभि के म आज र्कितीपुर आउँ ।
ham,सर आज क्लास हुदैन।
spam,टोल फ्री नम्बर १२३ मा कौल गरी ३ रूपैयामा दैनिक ६ वटा एसएमएस पाउनुहोस् ।
ham,आज तिमीले कौल गरेको होक्लास त्यति छैन। त्यसैल भोलि आउदिन केही विशेस कार्यक्रम भयो भने कौल गर।
ham,बधाई छ तपाईलाई थेसिस कमपलिट गरनुभएकोमा ।
ham,हाम्रो घरतिर पानि घुमन आउदा हुन्छ निभाउजुलाई सम्झना सुनाईदिनु है।
ham,मेरो काम भए कि भएन सर ।
ham,नमस्ते सर जीसन्चै हुनुहुन्छ ।
ham,नेपल टेलिकममा ब्यालेनस ट्रनसफर गर्न के गर्नु पर्छ ।
spam,तपाईले रू 5000 को पुरूस्कार पाउनु भएछ दाबी गरनलाई यो नम्बर मा कौल गरनुस्।
ham,गर्मी धेरै छघरको याद आइरहेछ भने तिमी पनि आए हुन्छ।
ham,आज त बिरानो जस्तो कुरा गरनु भो सर जी ।
ham,नयाँ साल २०६९ को सबैलाई शुभकमना छ।
spam,एउटा सिम कार्ड किन्दा रू 500 को रिचार्ज फ्रि ।
spam,यौन उपचरमा १००% सन्तुष्टीपुरूषका लागि।
ham,कम्पुटर रिसटार्ट गर्दा यस्तो समस्या आयो कि के गर्नेयसको सोलुसन के हो।
ham,नमस्कारघरतिरको घुमफिर कस्तो भइरहेछ।
spam,बिक्रीमा जावलाखेल ललितपुरमा अवस्थित शैक्षिक संस्था स्कुल देखि +2 सम्मको समबन्ध बिक्रीमा सम्पर्क फोन नम्बर ९८०५३७४४३ ।
spam,लौ आयोशिखर शु किन्दा ५०% छुट। यो योजना सिमीत अवधिको लागि मात्र।
ham,बधाई छ तपाई थौड सेमेष्टर पास हुनु भो।
ham,म घरमा छु दाई माईन्ड न गरनुहोला ।
spam,A टाइप गरी ९९०३ एसएमएस पठाउनुहोस अनि ३ रूपैयामा दैनिक ६ वटा एसएमएस पाउनुहोस् ।
spam,कौल इण्डिया रू 2 चार्ज प्रत्येक मिनेट एसेस कोड 1214 । 
ham,के भयो हजुरलाई।
ham,मामासन्चै हुनुहन्छ।
ham,राम्रो जिवन जिवनका लागि दुइटा तरिका छ जुन मन पर छ त्योलाई पाउनु पाउन सिकनुस अथवा जुन पाउनु भएछ त्योलाई मन पराउन सिकनुस ।
spam,टोल फ्री नम्बर १२३ मा कौल गरी जोक्स एसएमएस र सटक अर्लट जस्तै अनेक सेवा पाउनुहोस् ।
